country;country_code;gold;silver;bronze;total;gdp;gdp_year;population
United States;USA;40;44;42;126;8169519;2023;3349
China;CHN;40;27;24;91;1261406;2023;14107
Japan;JPN;20;12;13;45;3383439;2023;1245
Australia;AUS;18;19;16;53;6471177;2023;266
France;FRA;16;26;22;64;4446082;2023;682
Netherlands;NLD;15;7;12;34;6253673;2023;179
Great Britain;GBR;14;22;29;65;488666;2023;683
South Korea;KOR;13;9;10;32;3312137;2023;517
Italy;ITA;12;13;15;40;3837317;2023;588
Germany;DEU;12;13;8;33;5274576;2023;845
New Zealand;NZL;10;7;3;20;4852783;2023;52
Canada;CAN;9;7;11;27;533717;2023;401
Uzbekistan;UZB;8;2;3;13;249611;2023;364
Hungary;HUN;6;7;6;19;2214721;2023;96
Spain;ESP;5;4;9;18;3267698;2023;484
Sweden;SWE;4;4;3;11;5630525;2023;105
Kenya;KEN;4;2;5;11;19499;2023;551
Norway;NOR;4;1;3;8;8796178;2023;55
Ireland;IRL;4;0;3;7;10368488;2023;53
Brazil;BRA;3;7;10;20;1004362;2023;2164
Iran;IRN;3;6;3;12;450255;2023;892
Ukraine;UKR;3;5;4;12;518136;2023;370
Romania;ROU;3;4;2;9;1841942;2023;191
Georgia;GEO;3;3;1;7;812036;2023;38
Belgium;BEL;3;1;6;10;5347529;2023;118
Bulgaria;BGR;3;1;3;7;157976;2023;64
Serbia;SRB;3;1;1;5;1136096;2023;66
Czech Republic;CZE;3;0;2;5;3042742;2023;109
Denmark;DNK;2;2;5;9;6796738;2023;59
Azerbaijan;AZE;2;2;3;7;715508;2023;101
Croatia;HRV;2;2;3;7;2145978;2023;39
Cuba;CUB;2;1;6;9;5649585;2022;112
Bahrain;BHR;2;1;1;4;2908431;2023;15
Slovenia;SVN;2;1;0;3;3216351;2023;21
Taiwan;TPE;2;0;5;7;3244371;2023;232
Austria;AUT;2;0;3;5;5650597;2023;91
Hong Kong;HKG;2;0;2;4;5069659;2023;75
Philippines;PHL;2;0;2;4;372555;2023;1173
Algeria;DZA;2;0;1;3;526021;2023;456
Indonesia;IDN;2;0;1;3;494055;2023;2775
Israel;ISR;1;5;1;7;5226168;2023;98
Poland;POL;1;4;5;10;2211286;2023;367
Kazakhstan;KAZ;1;3;3;7;1313662;2023;199
Jamaica;JAM;1;3;2;6;68742;2023;28
South Africa;ZAF;1;3;2;6;625316;2023;604
Thailand;THA;1;3;2;6;717181;2023;718
Ethiopia;ETH;1;3;0;4;129378;2023;1265
Switzerland;CHE;1;2;5;8;9999494;2023;88
Ecuador;ECU;1;2;2;5;653335;2023;182
Portugal;PRT;1;2;1;4;2727511;2023;105
Greece;GRC;1;1;6;8;2299001;2023;104
Argentina;ARG;1;1;1;3;1373051;2023;467
Egypt;EGY;1;1;1;3;351258;2023;1127
Tunisia;TUN;1;1;1;3;389539;2023;125
Botswana;BWA;1;1;0;2;72498;2023;27
Chile;CHL;1;1;0;2;1709324;2023;196
St Lucia;LCA;1;1;0;2;1398009;2023;2
Uganda;UGA;1;1;0;2;101421;2023;486
Dominican Republic;DOM;1;0;2;3;1071601;2023;113
Guatemala;GTM;1;0;1;2;579752;2023;176
Morocco;MAR;1;0;1;2;367211;2023;378
Dominica;DMA;1;0;0;1;89539;2023;1
Pakistan;PAK;1;0;0;1;140702;2023;2405
Turkey;TUR;0;3;5;8;1298575;2023;853
Mexico;MEX;0;3;2;5;1392611;2023;1285
Armenia;ARM;0;3;1;4;871577;2023;28
Colombia;COL;0;3;1;4;697973;2023;521
North Korea;PRK;0;2;4;6;12170;2023;262
Kyrgyzstan;KGZ;0;2;4;6;196987;2023;71
Lithuania;LTU;0;2;2;4;2710278;2023;29
India;IND;0;1;5;6;248485;2023;14286
Moldova;MDA;0;1;3;4;665065;2023;25
Kosovo;XKX;0;1;1;2;594313;2023;18
Cyprus;CYP;0;1;0;1;3470144;2023;13
Fiji;FJI;0;1;0;1;586816;2023;9
Jordan;JOR;0;1;0;1;448209;2023;113
Mongolia;MNG;0;1;0;1;57648;2023;34
Panama;PAN;0;1;0;1;1866177;2023;45
Tajikistan;TJK;0;0;3;3;118899;2023;101
Albania;ALB;0;0;2;2;836778;2023;27
Grenada;GRD;0;0;2;2;1046365;2023;1
Malaysia;MYS;0;0;2;2;1164867;2023;343
Puerto Rico;PRI;0;0;2;2;3677906;2023;32
Cape Verde;CPV;0;0;1;1;432158;2023;6
Ivory Coast;CIV;0;0;1;1;27288;2023;289
Peru;PER;0;0;1;1;778987;2023;344
Qatar;QAT;0;0;1;1;8748042;2022;27
Singapore;SGP;0;0;1;1;8473426;2023;59
Slovakia;SVK;0;0;1;1;2447024;2023;54
Zambia;ZMB;0;0;1;1;136913;2023;206
